Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max
181010011,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13 us.",XDGF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14276.2570187167
181010012,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13.5 us.",XDGF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14364.8287847784
181010013,1.8,,He,Pockel cell had been turned off. On now.,XDGF,1.25,1650,2200,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14222.8919630231
181010014,1.8,,He,tweaking scopes.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14220.3894725358
181010015,1.8,,He,TS_PRETRIG to -1.35 ms.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14446.8519300146
181010016,2,,He,TS_TRIG to 2ms (decay),XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14046.1521620546
181010017,2,,He,"Power test, energy monitor at laser box exit: 3.26 J",XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14165.0547493127
181010018,2,,He,"Power test, energy monitor at laser box exit: 3.38 J",XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14538.468899019
181010019,2,,He,test burn at chimney outlet collar,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14364.1187022442
181010020,2,,He,Power test with old energy monitor - didn't trigger,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14278.9099989178
181010021,2,,He,"Power test with old energy monitor - laser key wasn't in, will retry.",XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14244.1555166205
181010022,2,,He,Power test with old energy monitor: 5.34 J.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,14495.1134322135
181010023,2,,D/He,D/He shot.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,17904.918786492
181010024,2,,D/He,D/He shot.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,
181010025,2,,D/He,D/He shot.,XDGF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.3480032327,0.3322743595,,22918.4607148202
181010026,2,,D/He,D/He shot.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22931.1329544649
181010027,2,,D/He,D/He shot.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,
181010028,2,,D/He,D/He shot.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-20292.0195905688
181010029,2,,D/He,D/He shot.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,
181011007,2,,He,plasma.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,13905.7677696113
181011008,2,,D/He,first deuterium shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-17148.8851168367
181011009,2,,D/He,deuterium shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,25385.5798558406
181011010,2,,D/He,deuterium shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-22448.3337283864
181011011,2,,V,deuterium shot - faulted before laser fired.,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-14104.1922616141
181011012,2,,D/He,deuterium shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-22393.2241450098
181011013,2,,V,high power vacuum,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-226.5386953797
181011014,2,,V,high power vacuum,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,221.7609623632
181011015,2,,V,high power vacuum,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-381.2737122345
181011016,2,,D/He,deuterium shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-23015.6382180289
181011017,2,,D/He,deuterium shot (laser temp. 16.9°C).,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-22567.5205495365
181011018,2,,D/He,repeat.,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,25201.9530385082
181011019,2,,D/He,repeat.,XDAF,1.25,1650,2300,1900,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,27056.8672397178
181016009,2,,D/He,first D/He,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,15729.4046417159
181016010,2.1,,D/He,new trig. time,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,16306.3731676118
181016011,2.15,,D/He,new trig. time,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23154.2102656076
181016012,2.24,,D/He,new trig. time,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-22842.0980268369
181016013,2.5,,D/He,new trig. time,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23036.8817954262
181016014,2.5,,V,HPV shot,XDAF,1.25,1650,2300,2000,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-164.0926930922
