,Shot,TS_TRIG,Energy,Fuel,Notes,V_osc,V_amps12,V_amp3,poly2_2,poly2_3,poly3_1,poly3_2,poly3_3,poly3_4,poly3_5,poly4_1,poly4_2,poly4_3,poly4_4,poly4_5,poly5_1,poly5_2,poly5_3,poly5_4,poly5_5
24,181010011,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13 us.",1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,181010012,1.8,,He,"plasma. Triggering scopes off of 4222 channel 2 again, delay 13.5 us.",1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,181010013,1.8,,He,Pockel cell had been turned off. On now.,1650.0,2200.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
27,181010014,1.8,,He,tweaking scopes.,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
28,181010015,1.8,,He,TS_PRETRIG to -1.35 ms.,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
29,181010016,2.0,,He,TS_TRIG to 2ms (decay),1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,181010017,2.0,,He,"Power test, energy monitor at laser box exit: 3.26 J",1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31,181010018,2.0,,He,"Power test, energy monitor at laser box exit: 3.38 J",1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,181010019,2.0,,He,test burn at chimney outlet collar,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,181010020,2.0,,He,Power test with old energy monitor - didn't trigger,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,181010021,2.0,,He,"Power test with old energy monitor - laser key wasn't in, will retry.",1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
